	PamChip Location	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	Visual QC	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK
	Array	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS
ID																																																			
FOXO3		8	19	48	96	193	16	25	72	142	293	10	21	49	99	202	12	20	56	114	231	12	20	52	108	215	12	30	69	146	285	9	18	42	87	177	11	19	48	104	212	10	19	55	109	218	13	26	65	140	273
IKKB		-2	-3	-9	-19	-44	-3	-7	-11	-26	-65	-1	-2	-8	-13	-28	-1	-2	-8	-17	-42	-1	-6	-9	-19	-43	-2	-6	-11	-23	-52	0	-2	-6	-8	-22	-1	-4	-10	-17	-42	-3	-4	-7	-16	-35	-2	-5	-10	-22	-45
LMNA		0	0	-2	-4	-6	-1	-1	-2	-2	-11	0	1	-1	-4	-5	-1	-1	-6	-3	-4	-1	-2	-1	-4	0	-1	-3	-5	-12	-10	0	-1	0	-3	-5	1	-2	-3	-4	-3	0	-2	-2	0	-3	-2	-3	-3	-7	-24
MYC		0	0	-1	-4	-6	-1	-3	-4	-5	-19	0	1	2	-1	-5	-2	-1	-4	-6	-6	0	-1	-4	-8	-16	-3	-4	-3	-13	-24	0	-2	-1	-2	-4	0	-3	-3	-5	-10	1	-1	-1	-4	-11	-1	-3	-5	-7	-18
PP2AB		2	2	8	11	22	1	3	9	19	29	3	1	6	11	10	2	1	9	12	39	3	3	8	14	32	2	3	8	18	34	1	4	0	9	13	2	2	4	15	29	0	1	5	8	15	4	2	10	24	52
RBL2		21	43	103	205	407	22	41	109	225	445	21	37	92	185	381	19	37	97	196	403	17	37	92	189	380	22	41	107	222	440	11	23	61	125	261	23	40	108	208	428	17	35	85	167	345	20	40	101	215	444
YAP1		-2	-8	-19	-43	-65	0	-10	-21	-44	-96	-1	-3	-13	-40	-91	-3	-5	-15	-29	-52	-3	-10	-9	-23	-58	-5	-6	-17	-35	-67	-2	-4	-11	-29	-51	-2	-3	-11	-15	-40	0	-6	-13	-37	-73	-2	-4	-18	-36	-66
KAP2		460	944	2343	3649	3202	437	877	2213	3620	3137	356	718	1805	3644	3305	414	823	2077	3678	3336	437	867	2203	3643	3190	403	807	2038	3623	3128	318	651	1641	3255	3404	396	810	2014	3705	3300	403	823	2096	3684	3259	381	784	1949	3654	3188
RS6		789	1593	3808	3540	2979	764	1545	3793	3500	2882	666	1319	3347	3630	3135	724	1454	3653	3611	3114	761	1499	3798	3560	2992	715	1408	3526	3511	2938	493	1003	2520	3715	3312	680	1370	3441	3610	3109	665	1345	3397	3614	3145	657	1322	3344	3538	2982
ACM1		3	7	20	41	83	6	12	25	64	131	4	9	19	36	81	3	9	21	45	89	6	6	25	44	82	4	14	36	69	144	2	7	17	35	75	6	8	22	46	92	2	7	24	39	95	6	12	33	64	137
BAD		320	641	1624	3222	3509	288	597	1495	3004	3461	209	423	1058	2136	3627	240	483	1240	2466	3580	309	614	1523	3085	3507	288	581	1462	2938	3447	132	267	660	1336	2659	250	502	1266	2548	3598	264	524	1348	2725	3597	260	531	1329	2725	3517
CENPA		118	233	592	1193	2419	123	250	649	1292	2594	100	206	520	1048	2113	121	242	614	1234	2483	113	232	567	1146	2340	119	239	606	1221	2454	72	146	372	752	1480	118	231	591	1204	2401	90	187	479	965	1933	104	206	538	1094	2178
FRAP		111	224	570	1146	2327	84	172	439	885	1753	66	133	336	688	1372	83	171	427	868	1740	104	212	535	1087	2189	84	173	437	868	1754	31	68	165	332	669	83	162	413	846	1699	78	157	398	812	1594	70	150	386	772	1539
K6PL		0	1	3	4	16	-1	1	2	2	10	0	0	0	4	9	0	-1	3	1	8	1	2	0	0	11	1	1	-1	5	-1	1	3	-1	2	1	0	0	0	2	1	0	0	2	2	11	2	1	6	7	15
LMNB1		2	3	9	15	30	2	6	17	31	64	2	2	4	11	29	2	5	14	28	54	1	4	9	15	34	1	8	13	32	60	-2	3	6	12	23	0	3	10	24	41	1	3	8	12	28	2	4	18	31	63
NEK2		2	7	7	19	36	1	5	12	27	45	0	6	6	17	36	1	3	6	19	36	3	2	7	14	29	1	3	9	15	51	-1	2	6	10	26	2	1	7	15	31	2	4	7	16	31	2	3	9	17	45
PPR1A		83	164	428	850	1710	76	160	410	819	1656	52	112	278	556	1130	65	134	348	689	1390	81	161	412	829	1660	77	149	378	782	1534	41	83	209	427	887	63	128	326	658	1302	67	130	342	694	1408	67	132	349	689	1387
