	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Barcode	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121
	PamChip Location	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	Visual QC	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS
ID
MYBB_513_525		-2.0	-3.0	-10.0	-10.0	-24.0	-1.0	-4.0	-5.0	-8.0	-19.0	-4.0	-4.0	-7.0	-15.0	-22.0	-3.0	-4.0	-9.0	-16.0	-30.0	-2.0	0.0	-3.0	-9.0	-18.0	-3.0	-2.0	-10.0	-20.0	-30.0	-2.0	-3.0	-7.0	-18.0	-35.0	-3.0	-3.0	-8.0	-20.0	-49.0	-1.0	-3.0	-5.0	-9.0	-17.0	-2.0	-1.0	-7.0	-6.0	-22.0	-2.0	-2.0	-9.0	-8.0	-20.0	-3.0	-4.0	-10.0	-14.0	-24.0
PLEK_106_118		189.0	389.0	965.0	1943.0	3639.0	186.0	371.0	939.0	1908.0	3657.0	167.0	338.0	868.0	1735.0	3477.0	180.0	376.0	944.0	1895.0	3548.0	156.0	315.0	802.0	1609.0	3229.0	181.0	365.0	918.0	1842.0	3637.0	173.0	343.0	865.0	1723.0	3473.0	179.0	359.0	903.0	1800.0	3539.0	124.0	245.0	631.0	1256.0	2530.0	178.0	365.0	926.0	1848.0	3644.0	149.0	302.0	768.0	1551.0	3100.0	159.0	323.0	829.0	1660.0	3302.0
RBL2_632_644		-2.0	-1.0	-2.0	-5.0	-6.0	-1.0	-1.0	-6.0	-9.0	-12.0	-2.0	-2.0	-4.0	-5.0	-13.0	-1.0	0.0	-2.0	-2.0	-9.0	0.0	-1.0	-1.0	-4.0	-8.0	0.0	-2.0	-3.0	-10.0	-12.0	2.0	1.0	0.0	0.0	-6.0	1.0	0.0	-1.0	3.0	-8.0	0.0	-2.0	-1.0	-6.0	-6.0	-2.0	-2.0	-6.0	-6.0	-9.0	-1.0	-1.0	0.0	-1.0	-3.0	-2.0	-2.0	-1.0	-6.0	-9.0
VIGLN_289_301		-1.0	1.0	-8.0	3.0	-12.0	0.0	-2.0	-4.0	1.0	-16.0	-3.0	-4.0	-6.0	-5.0	-24.0	-2.0	-2.0	-7.0	-18.0	-25.0	-1.0	0.0	-4.0	-5.0	-7.0	-1.0	-6.0	-7.0	-14.0	-32.0	-2.0	-2.0	-2.0	-13.0	-9.0	-4.0	-4.0	-7.0	-25.0	-33.0	-3.0	-3.0	-4.0	-3.0	-8.0	-2.0	0.0	-6.0	-3.0	-14.0	-2.0	-1.0	-2.0	-8.0	-26.0	-3.0	-5.0	-14.0	-19.0	-11.0
GRIK2_708_720		1511.0	3051.0	3703.0	3294.0	2501.0	1380.0	2770.0	3723.0	3362.0	2609.0	1366.0	2796.0	3722.0	3360.0	2671.0	1430.0	2877.0	3715.0	3269.0	2535.0	1275.0	2557.0	3750.0	3382.0	2727.0	1314.0	2650.0	3753.0	3389.0	2690.0	1316.0	2629.0	3716.0	3342.0	2625.0	1293.0	2580.0	3700.0	3289.0	2471.0	1036.0	2083.0	3806.0	3492.0	2930.0	1306.0	2596.0	3734.0	3369.0	2687.0	1211.0	2432.0	3754.0	3406.0	2710.0	1232.0	2528.0	3697.0	3285.0	2465.0
RADI_559_569		-12.0	-13.0	-39.0	-73.0	-136.0	-4.0	-10.0	-34.0	-23.0	-49.0	-7.0	-12.0	-36.0	-69.0	-141.0	-2.0	-8.0	-28.0	-66.0	-114.0	-4.0	-10.0	-18.0	-46.0	-106.0	-5.0	-11.0	-22.0	-88.0	-40.0	-4.0	-6.0	-31.0	-58.0	-183.0	-6.0	-8.0	-25.0	-14.0	-113.0	-4.0	-7.0	-8.0	-28.0	-60.0	-4.0	-10.0	-31.0	-69.0	-46.0	-2.0	-5.0	-20.0	-46.0	-34.0	-3.0	-6.0	-13.0	-33.0	-37.0
ACM1_421_433		2.0	4.0	15.0	37.0	79.0	3.0	4.0	12.0	40.0	75.0	2.0	6.0	13.0	30.0	74.0	3.0	6.0	24.0	54.0	107.0	1.0	5.0	13.0	31.0	71.0	2.0	4.0	15.0	44.0	86.0	4.0	4.0	15.0	34.0	76.0	5.0	9.0	24.0	53.0	113.0	2.0	5.0	10.0	24.0	65.0	3.0	4.0	16.0	40.0	78.0	2.0	4.0	15.0	34.0	75.0	4.0	6.0	19.0	45.0	88.0
ATM_1972_1984		-3.0	-2.0	-8.0	-14.0	-32.0	-4.0	-5.0	-6.0	-14.0	-26.0	0.0	-2.0	-8.0	-16.0	-27.0	-2.0	-5.0	-9.0	-17.0	-36.0	-1.0	-1.0	-7.0	-13.0	-22.0	-2.0	-2.0	-8.0	-20.0	-32.0	-2.0	-4.0	-5.0	-13.0	-23.0	-2.0	-5.0	-9.0	-18.0	-35.0	0.0	0.0	-4.0	-7.0	-15.0	-1.0	-1.0	-5.0	-12.0	-23.0	-2.0	-3.0	-7.0	-13.0	-21.0	-2.0	-3.0	-9.0	-9.0	-32.0
CDN1B_151_163		-2.0	-3.0	-4.0	-6.0	-6.0	0.0	-4.0	-6.0	-12.0	-21.0	-1.0	-2.0	-4.0	-9.0	-17.0	-1.0	-4.0	-4.0	-11.0	-15.0	-1.0	-1.0	-3.0	-6.0	-4.0	-1.0	-1.0	-2.0	-13.0	-21.0	-2.0	-3.0	-6.0	-12.0	-17.0	0.0	-3.0	-5.0	-12.0	-26.0	-1.0	0.0	-5.0	-4.0	-5.0	-1.0	-4.0	-7.0	-7.0	-28.0	-1.0	-2.0	-3.0	-9.0	-21.0	0.0	-3.0	-8.0	-10.0	-17.0
FOXO3_25_37		11.0	22.0	57.0	113.0	234.0	13.0	17.0	57.0	108.0	228.0	8.0	19.0	48.0	96.0	193.0	16.0	25.0	72.0	142.0	293.0	10.0	21.0	49.0	99.0	202.0	12.0	20.0	56.0	114.0	231.0	12.0	20.0	52.0	108.0	215.0	12.0	30.0	69.0	146.0	285.0	9.0	18.0	42.0	87.0	177.0	11.0	19.0	48.0	104.0	212.0	10.0	19.0	55.0	109.0	218.0	13.0	26.0	65.0	140.0	273.0
