Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
710429121,FRAP,0.138531816766303,0.0640361842515027,0.10535273383999269
710429121,GPR6,-0.17721005251523714,-0.200224715883353,0.03254764906864071
710429121,GSUB,-0.5603004464868873,-0.5602974767992523,4.199772529305345e-6
710429121,GYS2,-0.1972987701493203,-0.31988396532246544,0.17336164556001474
710429121,H2B1B,-0.10093277688367586,-0.17961337220638818,0.11127116500096887
710429121,H32,-0.5373406619542251,-0.5675784929244925,0.042762750654897264
710429121,IF4E,-0.6817140379373052,-0.6656985582315835,0.022649308607742696
710429121,KAPCG,-0.3416431216202378,-0.33892474053747224,0.00384437139494552
710429121,KCNA2,0.07059976932440826,-0.013509512320866612,0.11894848682420615
710429121,KCNA3,-0.10484905257639276,-0.27139857217888075,0.23553658942856215
710429121,KCNB1,-0.7881254505775512,-0.23094860912828175,0.7879670458177606
710429121,KIF2C,-0.014439800671818048,-0.05770578937974591,0.06118734802023276
710429121,KPCB.1,-0.5205306281261581,-0.5066547519759466,0.019623452241438577
710429121,KS6A1,-0.14421711286099015,-0.16199236606727707,0.02513800415894681
710429121,LMNB1,-0.5802189168780991,-0.3660109500229938,0.3029358118948564
710429121,MARCS,-0.6508003140839023,-0.6437422666153183,0.009981586453944528
710429121,MARCS.1,-0.551110284753805,-0.47874299154514866,0.10234280752791212
710429121,MBP,-0.20992306937423244,-0.21337880644184937,0.004887150229019287
710429121,MP2K1.1,-0.5059991528263001,-0.46341595444523165,0.060221736679731096
710429121,MPIP1,-0.4419792255560724,-0.32385008943948446,0.16705982640749606
710429121,MPIP3,-0.46063436571895444,-0.19918624538954566,0.3697434776268028
710429121,NEK2,-0.4731463199706232,-0.42047713716048385,0.07448547264920692
710429121,NR4A1,-0.6465834623323756,-0.7201912551907679,0.10409713895668778
710429121,P53,0.251418034325833,0.7837227638867557,0.7527925678603994
710429121,P53.1,-0.6079757781247768,-0.8130796199565293,0.29006063481329064
710429121,PDE5A,-0.2043119667110913,-0.6040590478302255,0.5653277436377373
710429121,PP2AB,-0.8236199764203889,-0.37995209334509683,0.6274411374344385
710429121,PPR1A,-0.08653703631577514,-0.1178067752620473,0.044222088909684265
710429121,RAF1,-0.08914277296497009,-0.17238823527940061,0.11772686181108603
710429121,RAP1B,-0.17319783698350122,-0.28556357987582803,0.15890915754445678
710429121,RB,-0.45775743540710145,-0.4446501030910186,0.018536567127935524
710429121,RB.1,-0.46273424131014007,-0.36486877467344003,0.13840267020559285
710429121,RB.3,0.05568988056133861,0.002300554314438319,0.07550390926432825
710429121,RBL2.1,-0.044320498531249086,-0.0909862594958808,0.06599535205464313
